year,data_series,value
2025,Electricity Generation,60410.4
2024,Electricity Generation,59616.1
2024,Electricity Consumption,57639.7
2023,Electricity Generation,57384.2
2023,Electricity Consumption,55426.4
2022,Electricity Generation,57113.7
2022,Electricity Consumption,54910.6
2021,Electricity Generation,55788.3
2021,Electricity Consumption,53495.6
2020,Electricity Generation,53071.6
2020,Electricity Consumption,50789.7
2019,Electricity Generation,54142.3
2019,Electricity Consumption,51736.7
2018,Electricity Generation,52904.8
2018,Electricity Consumption,50466.9
2017,Electricity Generation,52225.8
2017,Electricity Consumption,49643.7
2016,Electricity Generation,51586.6
2016,Electricity Consumption,48626.6
2015,Electricity Generation,50271.6
2015,Electricity Consumption,47513.9
2014,Electricity Generation,49309.7
2014,Electricity Consumption,46403.0
2013,Electricity Generation,47963.5
2013,Electricity Consumption,44948.8
2012,Electricity Generation,46936.2
2012,Electricity Consumption,44200.7
2011,Electricity Generation,45999.4
2011,Electricity Consumption,43007.1
2010,Electricity Generation,45366.5
2010,Electricity Consumption,42251.8
2009,Electricity Generation,41800.6
2009,Electricity Consumption,38822.9
2008,Electricity Generation,41669.6
2008,Electricity Consumption,38986.9
2007,Electricity Generation,41134.4
2007,Electricity Consumption,38304.9
2006,Electricity Generation,39480.1
2006,Electricity Consumption,36801.8
2005,Electricity Generation,38212.7
2005,Electricity Consumption,35489.3
2004,Electricity Generation,36809.5
2003,Electricity Generation,35281.5
2002,Electricity Generation,34664.5
2001,Electricity Generation,33061.0
2000,Electricity Generation,31665.0
1999,Electricity Generation,29520.1
1998,Electricity Generation,28374.8
1997,Electricity Generation,26709.4
1996,Electricity Generation,23909.4
1995,Electricity Generation,22057.4
1994,Electricity Generation,20675.4
1993,Electricity Generation,18962.4
1992,Electricity Generation,17543.1
1991,Electricity Generation,16596.6
1990,Electricity Generation,15617.6
1989,Electricity Generation,14038.9
1988,Electricity Generation,13017.5
1987,Electricity Generation,11813.8
1986,Electricity Generation,10576.5
1985,Electricity Generation,9876.3
1984,Electricity Generation,9420.7
1983,Electricity Generation,8625.9
1982,Electricity Generation,7859.5
1981,Electricity Generation,7441.9
1980,Electricity Generation,6940.5
1979,Electricity Generation,6447.8
1978,Electricity Generation,5897.9
1977,Electricity Generation,5114.7
1976,Electricity Generation,4604.9
1975,Electricity Generation,4175.7
