year,category,data_series,value
2025,Total,Electricity Generation,60410.4
2024,Total,Electricity Generation,59616.1
2024,Total,Electricity Consumption,57639.7
2024,Consumption Sector,Industrial-Related,22704.0
2024,Consumption Sector,Manufacturing,20630.5
2024,Consumption Sector,Construction,440.0
2024,Consumption Sector,Utilities,1569.4
2024,Consumption Sector,Other Industrial-Related,64.1
2024,Consumption Sector,Commerce And Service-Related,23195.0
2024,Consumption Sector,Wholesale And Retail Trade,2272.5
2024,Consumption Sector,Accommodation And Food Services,1650.4
2024,Consumption Sector,Information And Communications,6072.0
2024,Consumption Sector,Financial And Insurance Activities,2411.1
2024,Consumption Sector,Real Estate Activities,4719.0
2024,Consumption Sector,"Professional, Scientific & Technical, Administration & Support Activities",1105.2
2024,Consumption Sector,Other Commerce And Service-Related,4964.8
2024,Consumption Sector,Transport-Related,3199.8
2024,Consumption Sector,Households,8422.3
2024,Consumption Sector,Others,118.6
2023,Total,Electricity Generation,57384.2
2023,Total,Electricity Consumption,55426.4
2023,Consumption Sector,Industrial-Related,22103.0
2023,Consumption Sector,Manufacturing,20171.2
2023,Consumption Sector,Construction,421.6
2023,Consumption Sector,Utilities,1451.2
2023,Consumption Sector,Other Industrial-Related,59.0
2023,Consumption Sector,Commerce And Service-Related,22092.7
2023,Consumption Sector,Wholesale And Retail Trade,2221.9
2023,Consumption Sector,Accommodation And Food Services,1587.4
2023,Consumption Sector,Information And Communications,5408.5
2023,Consumption Sector,Financial And Insurance Activities,2376.0
2023,Consumption Sector,Real Estate Activities,4728.5
2023,Consumption Sector,"Professional, Scientific & Technical, Administration & Support Activities",974.3
2023,Consumption Sector,Other Commerce And Service-Related,4796.1
2023,Consumption Sector,Transport-Related,3030.2
2023,Consumption Sector,Households,8042.3
2023,Consumption Sector,Others,158.1
2022,Total,Electricity Generation,57113.7
2022,Total,Electricity Consumption,54910.6
2022,Consumption Sector,Industrial-Related,22693.9
2022,Consumption Sector,Manufacturing,20682.1
2022,Consumption Sector,Construction,464.5
2022,Consumption Sector,Utilities,1490.7
2022,Consumption Sector,Other Industrial-Related,56.6
2022,Consumption Sector,Commerce And Service-Related,21187.3
2022,Consumption Sector,Wholesale And Retail Trade,2253.5
2022,Consumption Sector,Accommodation And Food Services,1441.5
2022,Consumption Sector,Information And Communications,4852.4
2022,Consumption Sector,Financial And Insurance Activities,2341.7
2022,Consumption Sector,Real Estate Activities,4714.6
2022,Consumption Sector,"Professional, Scientific & Technical, Administration & Support Activities",949.4
2022,Consumption Sector,Other Commerce And Service-Related,4634.2
2022,Consumption Sector,Transport-Related,2899.7
2022,Consumption Sector,Households,7936.7
2022,Consumption Sector,Others,193.0
2021,Total,Electricity Generation,55788.3
2021,Total,Electricity Consumption,53495.6
2021,Consumption Sector,Industrial-Related,22293.1
2021,Consumption Sector,Manufacturing,20284.8
2021,Consumption Sector,Construction,472.0
2021,Consumption Sector,Utilities,1482.1
2021,Consumption Sector,Other Industrial-Related,54.2
2021,Consumption Sector,Commerce And Service-Related,19837.1
2021,Consumption Sector,Wholesale And Retail Trade,2226.8
2021,Consumption Sector,Accommodation And Food Services,1328.1
2021,Consumption Sector,Information And Communications,4029.0
2021,Consumption Sector,Financial And Insurance Activities,2271.9
2021,Consumption Sector,Real Estate Activities,4616.3
2021,Consumption Sector,"Professional, Scientific & Technical, Administration & Support Activities",823.1
2021,Consumption Sector,Other Commerce And Service-Related,4541.9
2021,Consumption Sector,Transport-Related,2844.7
2021,Consumption Sector,Households,8290.0
2021,Consumption Sector,Others,230.8
2020,Total,Electricity Generation,53071.6
2020,Total,Electricity Consumption,50789.7
2020,Consumption Sector,Industrial-Related,20978.9
2020,Consumption Sector,Manufacturing,19121.3
2020,Consumption Sector,Construction,387.0
2020,Consumption Sector,Utilities,1418.7
2020,Consumption Sector,Other Industrial-Related,51.9
2020,Consumption Sector,Commerce And Service-Related,18517.6
2020,Consumption Sector,Wholesale And Retail Trade,2180.9
2020,Consumption Sector,Accommodation And Food Services,1289.1
2020,Consumption Sector,Information And Communications,3086.2
2020,Consumption Sector,Financial And Insurance Activities,2152.4
2020,Consumption Sector,Real Estate Activities,4546.7
2020,Consumption Sector,"Professional, Scientific & Technical, Administration & Support Activities",798.2
2020,Consumption Sector,Other Commerce And Service-Related,4464.2
2020,Consumption Sector,Transport-Related,2809.2
2020,Consumption Sector,Households,8254.6
2020,Consumption Sector,Others,229.3
2019,Total,Electricity Generation,54142.3
2019,Total,Electricity Consumption,51736.7
2019,Consumption Sector,Industrial-Related,21463.9
2019,Consumption Sector,Manufacturing,19439.4
2019,Consumption Sector,Construction,397.1
2019,Consumption Sector,Utilities,1574.5
2019,Consumption Sector,Other Industrial-Related,53.0
2019,Consumption Sector,Commerce And Service-Related,19318.9
2019,Consumption Sector,Wholesale And Retail Trade,2265.4
2019,Consumption Sector,Accommodation And Food Services,1523.3
2019,Consumption Sector,Information And Communications,2494.8
2019,Consumption Sector,Financial And Insurance Activities,2380.7
2019,Consumption Sector,Real Estate Activities,4864.7
2019,Consumption Sector,"Professional, Scientific & Technical, Administration & Support Activities",805.3
2019,Consumption Sector,Other Commerce And Service-Related,4984.6
2019,Consumption Sector,Transport-Related,3019.3
2019,Consumption Sector,Households,7688.0
2019,Consumption Sector,Others,246.8
2018,Total,Electricity Generation,52904.8
2018,Total,Electricity Consumption,50466.9
