year,data_series,value
2023,Carbon Dioxide (CO2),48.2
2023,Methane (CH4),0.1
2023,Nitrous Oxide (N2O),0.5
2023,Hydrofluorocarbons (HFCs),4.0
2023,Perfluorocarbons (PFCs),2.1
2023,Sulphur Hexafluoride (SF6),0.1
2023,Nitrogen Trifluoride (NF3),0.4
2022,Carbon Dioxide (CO2),50.4
2022,Methane (CH4),0.1
2022,Nitrous Oxide (N2O),0.6
2022,Hydrofluorocarbons (HFCs),4.2
2022,Perfluorocarbons (PFCs),2.5
2022,Sulphur Hexafluoride (SF6),0.2
2022,Nitrogen Trifluoride (NF3),0.6
2021,Carbon Dioxide (CO2),51.2
2021,Methane (CH4),0.1
2021,Nitrous Oxide (N2O),0.6
2021,Hydrofluorocarbons (HFCs),3.7
2021,Perfluorocarbons (PFCs),2.1
2021,Sulphur Hexafluoride (SF6),0.1
2021,Nitrogen Trifluoride (NF3),0.5
2020,Carbon Dioxide (CO2),47.7
2020,Methane (CH4),0.1
2020,Nitrous Oxide (N2O),0.6
2020,Hydrofluorocarbons (HFCs),3.3
2020,Perfluorocarbons (PFCs),1.6
2020,Sulphur Hexafluoride (SF6),0.1
2020,Nitrogen Trifluoride (NF3),0.4
2019,Carbon Dioxide (CO2),49.7
2019,Methane (CH4),0.1
2019,Nitrous Oxide (N2O),0.6
2019,Hydrofluorocarbons (HFCs),3.1
2019,Perfluorocarbons (PFCs),1.6
2019,Sulphur Hexafluoride (SF6),0.1
2019,Nitrogen Trifluoride (NF3),0.4
2018,Carbon Dioxide (CO2),51.2
2018,Methane (CH4),0.1
2018,Nitrous Oxide (N2O),0.5
2018,Hydrofluorocarbons (HFCs),2.8
2018,Perfluorocarbons (PFCs),1.7
2018,Sulphur Hexafluoride (SF6),0.1
2018,Nitrogen Trifluoride (NF3),0.4
2017,Carbon Dioxide (CO2),50.9
2017,Methane (CH4),0.1
2017,Nitrous Oxide (N2O),0.4
2017,Hydrofluorocarbons (HFCs),2.4
2017,Perfluorocarbons (PFCs),1.7
