year,data_series,value
2023,Total Greenhouse Gas Emissions,55.5
2022,Total Greenhouse Gas Emissions,58.6
2021,Total Greenhouse Gas Emissions,58.3
2020,Total Greenhouse Gas Emissions,53.9
2019,Total Greenhouse Gas Emissions,55.6
2018,Total Greenhouse Gas Emissions,56.8
2017,Total Greenhouse Gas Emissions,56.1
2016,Total Greenhouse Gas Emissions,54.1
2015,Total Greenhouse Gas Emissions,54.4
2014,Total Greenhouse Gas Emissions,52.6
2013,Total Greenhouse Gas Emissions,51.6
2012,Total Greenhouse Gas Emissions,51.3
2011,Total Greenhouse Gas Emissions,52.1
2010,Total Greenhouse Gas Emissions,48.9
2009,Total Greenhouse Gas Emissions,44.2
2008,Total Greenhouse Gas Emissions,44.1
2007,Total Greenhouse Gas Emissions,44.5
2006,Total Greenhouse Gas Emissions,44.6
2005,Total Greenhouse Gas Emissions,43.1
2004,Total Greenhouse Gas Emissions,43.9
2003,Total Greenhouse Gas Emissions,42.3
2002,Total Greenhouse Gas Emissions,42.3
2001,Total Greenhouse Gas Emissions,40.6
2000,Total Greenhouse Gas Emissions,39.7
