year,metric,value
2025,GDP,97177.0
2025,Manufacturing,20462.0
2024,GDP,93666.0
2024,Manufacturing,19054.0
2023,GDP,90707.0
2023,Manufacturing,18731.0
2022,GDP,93861.0
2022,Manufacturing,20532.0
2021,GDP,93277.0
2021,Manufacturing,20664.0
2020,GDP,81230.0
2020,Manufacturing,17493.0
2019,GDP,84010.0
2019,Manufacturing,16217.0
2018,GDP,84004.0
2018,Manufacturing,16646.0
2017,GDP,81792.0
2017,Manufacturing,15626.0
2016,GDP,78470.0
2016,Manufacturing,14166.0
2015,GDP,76503.0
2015,Manufacturing,13839.0
2014,GDP,75178.0
2014,Manufacturing,14761.0
2013,GDP,73276.0
2013,Manufacturing,14563.0
2012,GDP,71051.0
2012,Manufacturing,14558.0
2011,GDP,69722.0
2011,Manufacturing,14872.0
2010,GDP,67026.0
2010,Manufacturing,14085.0
2009,GDP,59573.0
2009,Manufacturing,11056.0
2008,GDP,61319.0
2008,Manufacturing,11888.0
2007,GDP,63488.0
2007,Manufacturing,13086.0
2006,GDP,60711.0
2006,Manufacturing,12877.0
2005,GDP,57465.0
2005,Manufacturing,11871.0
2004,GDP,54795.0
2004,Manufacturing,11098.0
2003,GDP,50470.0
2003,Manufacturing,9872.0
2002,GDP,47567.0
2002,Manufacturing,9444.0
2001,GDP,46191.0
2001,Manufacturing,8787.0
2000,GDP,47968.0
2000,Manufacturing,10212.0
1999,GDP,44761.0
1999,Manufacturing,9024.0
1998,GDP,42679.0
1998,Manufacturing,8047.0
1997,GDP,45143.0
1997,Manufacturing,8387.0
1996,GDP,43100.0
1996,Manufacturing,8315.0
1995,GDP,41767.0
1995,Manufacturing,8427.0
1994,GDP,40173.0
1994,Manufacturing,7894.0
1993,GDP,37312.0
1993,Manufacturing,7228.0
1992,GDP,34334.0
1992,Manufacturing,6760.0
1991,GDP,33178.0
1991,Manufacturing,6810.0
1990,GDP,31996.0
1990,Manufacturing,6645.0
1989,GDP,30290.0
1989,Manufacturing,6309.0
1988,GDP,28316.0
1988,Manufacturing,5917.0
1987,GDP,26103.0
1987,Manufacturing,5129.0
1986,GDP,23916.0
1986,Manufacturing,4433.0
1985,GDP,23577.0
1985,Manufacturing,4086.0
1984,GDP,23758.0
1984,Manufacturing,4413.0
1983,GDP,22254.0
1983,Manufacturing,4184.0
1982,GDP,20768.0
1982,Manufacturing,4123.0
1981,GDP,20261.0
1981,Manufacturing,4464.0
1980,GDP,19185.0
1980,Manufacturing,4286.0
1979,GDP,17645.0
1979,Manufacturing,3946.0
1978,GDP,16311.0
1978,Manufacturing,3511.0
1977,GDP,15318.0
1977,Manufacturing,3193.0
1976,GDP,14535.0
1976,Manufacturing,2961.0
1975,GDP,13713.0
1975,Manufacturing,2686.0
1974,GDP,13381.0
1974,Manufacturing,2781.0
1973,GDP,12821.0
1973,Manufacturing,2719.0
1972,GDP,11811.0
1972,Manufacturing,2384.0
1971,GDP,10618.0
1971,Manufacturing,2057.0
1970,GDP,9620.0
1970,Manufacturing,1769.0
1969,GDP,8575.0
1969,Manufacturing,1478.0
1968,GDP,7647.0
1968,Manufacturing,1223.0
1967,GDP,6853.0
1967,Manufacturing,1043.0
1966,GDP,6227.0
1966,Manufacturing,928.0
1965,GDP,5794.0
1965,Manufacturing,834.0
1964,GDP,5505.0
1964,Manufacturing,764.0
1963,GDP,5829.0
1963,Manufacturing,761.0
1962,GDP,5433.0
1962,Manufacturing,669.0
1961,GDP,5193.0
1961,Manufacturing,631.0
1960,GDP,4966.0
1960,Manufacturing,619.0
