year,metric,growth_rate
2025,GDP,3.7
2025,Manufacturing,7.4
2024,GDP,3.3
2024,Manufacturing,1.7
2023,GDP,-3.4
2023,Manufacturing,-8.8
2022,GDP,0.6
2022,Manufacturing,-0.6
2021,GDP,14.8
2021,Manufacturing,18.1
2020,GDP,-3.3
2020,Manufacturing,7.9
2019,GDP,0.0
2019,Manufacturing,-2.6
2018,GDP,2.7
2018,Manufacturing,6.5
2017,GDP,4.2
2017,Manufacturing,10.3
2016,GDP,2.6
2016,Manufacturing,2.4
2015,GDP,1.8
2015,Manufacturing,-6.2
2014,GDP,2.6
2014,Manufacturing,1.4
2013,GDP,3.1
2013,Manufacturing,0.0
2012,GDP,1.9
2012,Manufacturing,-2.1
2011,GDP,4.0
2011,Manufacturing,5.6
2010,GDP,12.5
2010,Manufacturing,27.4
2009,GDP,-2.8
2009,Manufacturing,-7.0
2008,GDP,-3.4
2008,Manufacturing,-9.2
2007,GDP,4.6
2007,Manufacturing,1.6
2006,GDP,5.6
2006,Manufacturing,8.5
2005,GDP,4.9
2005,Manufacturing,7.0
2004,GDP,8.6
2004,Manufacturing,12.4
2003,GDP,6.1
2003,Manufacturing,4.5
2002,GDP,3.0
2002,Manufacturing,7.5
2001,GDP,-3.7
2001,Manufacturing,-14.0
2000,GDP,7.2
2000,Manufacturing,13.2
1999,GDP,4.9
1999,Manufacturing,12.1
1998,GDP,-5.5
1998,Manufacturing,-4.1
1997,GDP,4.7
1997,Manufacturing,0.9
1996,GDP,3.2
1996,Manufacturing,-1.3
1995,GDP,4.0
1995,Manufacturing,6.8
1994,GDP,7.7
1994,Manufacturing,9.2
1993,GDP,8.7
1993,Manufacturing,6.9
1992,GDP,3.5
1992,Manufacturing,-0.7
1991,GDP,3.7
1991,Manufacturing,2.5
1990,GDP,5.6
1990,Manufacturing,5.3
1989,GDP,7.0
1989,Manufacturing,6.6
1988,GDP,8.5
1988,Manufacturing,15.4
1987,GDP,9.1
1987,Manufacturing,15.7
1986,GDP,1.4
1986,Manufacturing,8.5
1985,GDP,-0.8
1985,Manufacturing,-7.4
1984,GDP,6.8
1984,Manufacturing,5.5
1983,GDP,7.2
1983,Manufacturing,1.5
1982,GDP,2.5
1982,Manufacturing,-7.6
1981,GDP,5.6
1981,Manufacturing,4.2
1980,GDP,8.7
1980,Manufacturing,8.6
1979,GDP,8.2
1979,Manufacturing,12.4
1978,GDP,6.5
1978,Manufacturing,10.0
1977,GDP,5.4
1977,Manufacturing,7.8
1976,GDP,6.0
1976,Manufacturing,10.2
1975,GDP,2.5
1975,Manufacturing,-3.4
1974,GDP,4.4
1974,Manufacturing,2.3
1973,GDP,8.6
1973,Manufacturing,14.1
1972,GDP,11.2
1972,Manufacturing,15.9
1971,GDP,10.4
1971,Manufacturing,16.3
1970,GDP,12.2
1970,Manufacturing,19.7
1969,GDP,12.1
1969,Manufacturing,20.9
1968,GDP,11.6
1968,Manufacturing,17.3
1967,GDP,10.1
1967,Manufacturing,12.4
1966,GDP,7.5
1966,Manufacturing,11.3
1965,GDP,5.2
1965,Manufacturing,9.2
1964,GDP,-5.6
1964,Manufacturing,0.4
1963,GDP,7.3
1963,Manufacturing,13.8
1962,GDP,4.6
1962,Manufacturing,6.0
1961,GDP,4.6
1961,Manufacturing,1.9
